Section,VEd+ [kN],smax [m],VEd- [kN],smin [m]
N1,29.09188222222223,0,0,0
N2,37.41247249999998,5.0,-42.62224999999999,5.0
N3,0.7487847222222079,9.0,-22.025917222222226,9.0
